rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
51,frame_0280.jpg,112.0,0.4445,0.429,0.5,0.4,4,3,False,False
52,frame_0025.jpg,10.0,0.4418,0.3836,0.1667,1.0,1,1,False,False
53,frame_0318.jpg,127.2,0.4412,0.3864,0.6667,0.24,6,4,False,False
54,frame_0067.jpg,26.8,0.438,0.276,0.3333,1.0,7,2,False,False
55,frame_0333.jpg,133.2,0.4349,0.4378,0.6667,0.08,7,4,False,False
56,frame_0328.jpg,131.2,0.4336,0.4351,0.6667,0.08,9,4,False,False
57,frame_0017.jpg,6.8,0.4329,0.3657,0.1667,1.0,2,1,False,False
58,frame_0286.jpg,114.4,0.4318,0.4076,0.3333,0.64,4,2,False,False
59,frame_0209.jpg,83.6,0.4312,0.3744,0.3333,0.72,3,2,False,False
60,frame_0233.jpg,93.2,0.4294,0.4628,0.5,0.24,6,3,False,False
61,frame_0021.jpg,8.4,0.4261,0.2523,0.3333,1.0,3,2,False,False
62,frame_0229.jpg,91.6,0.4254,0.4188,0.6667,0.08,7,4,False,False
63,frame_0314.jpg,125.6,0.4246,0.4172,0.6667,0.08,5,4,False,False
64,frame_0077.jpg,30.8,0.4232,0.2944,0.3333,0.88,5,2,False,False
65,frame_0297.jpg,118.8,0.4218,0.4036,0.3333,0.6,5,2,False,False
66,frame_0112.jpg,44.8,0.4216,0.4633,0.5,0.2,3,3,False,False
67,frame_0276.jpg,110.4,0.4215,0.3469,0.6667,0.24,6,4,False,False
68,frame_0010.jpg,4.0,0.4209,0.3418,0.1667,1.0,1,1,False,False
69,frame_0131.jpg,52.4,0.419,0.3539,0.1667,0.96,3,1,False,False
70,frame_0399.jpg,159.6,0.419,0.4261,0.5,0.28,7,3,False,False
71,frame_0189.jpg,75.6,0.4181,0.5041,0.5,0.08,3,3,False,False
72,frame_0300.jpg,120.0,0.4168,0.3416,0.5,0.48,6,3,False,False
73,frame_0106.jpg,42.4,0.4167,0.5175,0.5,0.04,6,3,False,False
74,frame_0230.jpg,92.0,0.4157,0.4833,0.5,0.12,6,3,False,False
75,frame_0329.jpg,131.6,0.4157,0.4993,0.5,0.08,8,3,False,False
76,frame_0213.jpg,85.2,0.4147,0.5054,0.1667,0.56,3,1,False,False
77,frame_0296.jpg,118.4,0.4136,0.3712,0.3333,0.64,5,2,False,False
78,frame_0398.jpg,159.2,0.413,0.43,0.5,0.24,7,3,False,False
79,frame_0020.jpg,8.0,0.4115,0.3229,0.1667,1.0,3,1,False,False
80,frame_0208.jpg,83.2,0.408,0.4119,0.1667,0.76,2,1,False,False
81,frame_0330.jpg,132.0,0.4071,0.3981,0.6667,0.04,8,4,False,False
82,frame_0014.jpg,5.6,0.4065,0.3129,0.1667,1.0,3,1,False,False
83,frame_0011.jpg,4.4,0.4049,0.3098,0.1667,1.0,3,1,False,False
84,frame_0122.jpg,48.8,0.4043,0.3687,0.3333,0.6,3,2,False,False
85,frame_0294.jpg,117.6,0.4009,0.3139,0.3333,0.72,3,2,False,False
86,frame_0226.jpg,90.4,0.4005,0.485,0.5,0.04,3,3,False,False
87,frame_0183.jpg,73.2,0.3998,0.3836,0.6667,0.04,4,4,False,False
88,frame_0121.jpg,48.4,0.3962,0.4683,0.1667,0.56,3,1,False,False
89,frame_0175.jpg,70.0,0.3951,0.3782,0.5,0.28,5,3,False,False
90,frame_0298.jpg,119.2,0.3947,0.3655,0.3333,0.56,5,2,False,False
91,frame_0075.jpg,30.0,0.3943,0.3046,0.1667,0.96,6,1,False,False
92,frame_0174.jpg,69.6,0.3937,0.4595,0.3333,0.32,4,2,False,False
93,frame_0032.jpg,12.8,0.3874,0.2747,0.1667,1.0,5,1,False,False
94,frame_0290.jpg,116.0,0.3829,0.3457,0.1667,0.8,2,1,False,False
95,frame_0006.jpg,2.4,0.3825,0.2649,0.1667,1.0,4,1,False,False
96,frame_0173.jpg,69.2,0.3796,0.4152,0.3333,0.36,4,2,False,False
97,frame_0080.jpg,32.0,0.3777,0.2514,0.3333,0.76,5,2,False,False
98,frame_0076.jpg,30.4,0.3776,0.2872,0.1667,0.92,4,1,False,False
99,frame_0124.jpg,49.6,0.377,0.2821,0.3333,0.68,6,2,False,False
100,frame_0299.jpg,119.6,0.3764,0.4447,0.1667,0.52,4,1,False,False
101,frame_0177.jpg,70.8,0.3741,0.3683,0.5,0.2,6,3,False,False
102,frame_0202.jpg,80.8,0.3737,0.3074,0.3333,0.6,4,2,False,False
103,frame_0005.jpg,2.0,0.3735,0.2469,0.1667,1.0,3,1,False,False
104,frame_0087.jpg,34.8,0.3709,0.4497,0.1667,0.48,3,1,False,False
105,frame_0368.jpg,147.2,0.3707,0.4253,0.5,0.04,8,3,False,False
106,frame_0275.jpg,110.0,0.3694,0.3587,0.5,0.2,5,3,False,False
107,frame_0092.jpg,36.8,0.3677,0.4235,0.3333,0.28,2,2,False,False
108,frame_0225.jpg,90.0,0.3654,0.3987,0.5,0.08,7,3,False,False
109,frame_0132.jpg,52.8,0.3592,0.2183,0.1667,1.0,3,1,False,False
110,frame_0000.jpg,0.0,0.3568,0.2135,0.1667,1.0,5,1,False,False
111,frame_0003.jpg,1.2,0.3549,0.2098,0.1667,1.0,5,1,False,False
112,frame_0198.jpg,79.2,0.3517,0.4274,0.1667,0.44,2,1,False,False
113,frame_0321.jpg,128.4,0.3509,0.4219,0.3333,0.2,6,2,False,False
114,frame_0385.jpg,154.0,0.3499,0.3198,0.5,0.2,6,3,False,False
115,frame_0271.jpg,108.4,0.3494,0.4829,0.3333,0.04,3,2,False,False
116,frame_0068.jpg,27.2,0.3474,0.1947,0.1667,1.0,3,1,False,False
117,frame_0205.jpg,82.0,0.346,0.3039,0.1667,0.72,2,1,False,False
118,frame_0327.jpg,130.8,0.3422,0.3684,0.5,0.04,9,3,False,False
119,frame_0188.jpg,75.2,0.3417,0.3674,0.5,0.04,5,3,False,False
120,frame_0192.jpg,76.8,0.3414,0.4028,0.3333,0.2,4,2,False,False
121,frame_0396.jpg,158.4,0.3414,0.4188,0.3333,0.16,6,2,False,False
122,frame_0373.jpg,149.2,0.3404,0.4168,0.3333,0.16,6,2,False,False
123,frame_0168.jpg,67.2,0.3389,0.2539,0.3333,0.56,5,2,False,False
124,frame_0204.jpg,81.6,0.3382,0.3044,0.1667,0.68,2,1,False,False
